EntrezGeneID,logFC,logCPM,PValue,FDR
208715,-1.4593297298693069,6.892372939453388,5.769717042856385e-06,0.0005738116412430603
16598,-1.9116857052430654,6.3889165034581055,5.772972092992065e-06,0.0005738116412430603
107769,-2.1603319926622366,1.7995716003183968,5.8997474614316824e-06,0.0005827475555029144
223473,-1.5196713235885089,5.74045242805753,6.083138943288897e-06,0.0005929355060552061
20537,3.079754589260713,4.801114194087618,6.084657361673023e-06,0.0005929355060552061
214685,2.3126827707648534,5.533567478314385,6.143867989271066e-06,0.0005929355060552061
73075,-2.441147717052359,0.8335153582590028,6.152962730514668e-06,0.0005929355060552061
13447,2.0276819247934994,5.0299935776387565,6.200430467765619e-06,0.0005938885037125324
11535,1.3749271936555,4.635074273257767,6.280278050755012e-06,0.0005979127368321217
12704,2.649466875269617,1.4873757168460127,6.490456925806295e-06,0.0006111676827924389
170459,-1.5961981911675145,4.106168141604096,6.4968470456295704e-06,0.0006111676827924389
