,gene,logFC,SE,z,PValue,FDR
8988,XLOC_040721,-0.38339933544415133,0.07654978259784725,-5.008496725044042,5.485680882300317e-07,6.396057361306786e-05
10201,XLOC_045146,0.25803979536598504,0.05173984084768814,4.987255297626508,6.124311441333142e-07,7.061331091857113e-05
4777,XLOC_017072,0.7836740476761537,0.157479869331126,4.976344284540627,6.479635608097723e-07,7.38892073683847e-05
6388,XLOC_030748,0.7280357685256703,0.14704133816734757,4.951231929738654,7.374515144298398e-07,8.317972136128747e-05
6583,XLOC_031483,1.3609533800368152,0.2761595029805314,4.928142487759183,8.301506862431428e-07,9.262874915209777e-05
9651,XLOC_043213,0.6443692557181683,0.13115732268331365,4.91294914027814,8.971655580181191e-07,9.801016786140765e-05
6393,XLOC_030752,0.21844362881075244,0.04446303685168419,4.9129264278420095,8.972695332787633e-07,9.801016786140765e-05
1813,XLOC_005999,-0.24327650927786768,0.04956062446705985,-4.908665132731729,9.169839903425361e-07,9.912023820608851e-05
8795,XLOC_039923,0.5787941720401475,0.11811396265420673,4.900302716408213,9.568910209363485e-07,0.0001021011988328716
8359,XLOC_038194,0.36552464099499254,0.07461514668620177,4.898799469392283,9.642399041747534e-07,0.0001021011988328716
6838,XLOC_032552,0.2987644396396214,0.061100880265980984,4.889691250585205,1.0099425821911719e-06,0.00010586034520603828
8738,XLOC_039601,-0.7668570854692944,0.15720940413134885,-4.877933923269523,1.0720282255731076e-06,0.00011058032173797452
8063,XLOC_037102,0.18912511824828715,0.038787061056822066,4.87598475097723,1.082669725464393e-06,0.00011058032173797452
1636,XLOC_005251,0.5764556827445014,0.11824228741264531,4.875207468989245,1.0869415840101572e-06,0.00011058032173797452
5922,XLOC_028699,0.26157833785548346,0.053717762712017274,4.869494272459069,1.118842263421956e-06,0.00011272064240320036
1970,XLOC_006488,0.621318485090219,0.1276982428069529,4.865521023883576,1.141556748282543e-06,0.00011302757505506341
7141,XLOC_033648,-0.22841016287502813,0.04694818070849314,-4.865154717991185,1.1436730635811563e-06,0.00011302757505506341
233,XLOC_000666,0.597548314060229,0.12302250912604619,4.85722749686396,1.1904079780561176e-06,0.00011653644894611635
9047,XLOC_040993,0.3083860139281464,0.06356812492804391,4.851268057335727,1.2267461330712962e-06,0.00011897144507365271
7524,XLOC_034889,0.4600321830455021,0.09502700741564722,4.841067771747517,1.2914331601840736e-06,0.0001240852028076864
561,XLOC_001840,0.18824344526565817,0.038969914455711054,4.830481357088815,1.3620336763829601e-06,0.00012966810513601816
7388,XLOC_034502,0.5204891609137133,0.10785027759385056,4.826034503812819,1.3927838913358654e-06,0.00013139016763992977
8602,XLOC_039069,0.565958911462121,0.11742217182157157,4.819864108135572,1.4365604060940229e-06,0.0001342989849913304
8480,XLOC_038635,0.39864402443010183,0.08294051395088024,4.8063847864047515,1.5368398093265373e-06,0.00014239095269090606
3228,TRINITY_DN24462_c6_g1_i1.mrna1,2.9158974018934916,0.60742880514184,4.800393687639828,1.5835402202121688e-06,0.0001454194412844396
232,XLOC_000601,-1.7190345299464005,0.35913595469295556,-4.786584321294409,1.6964368354723205e-06,0.00015442039510259886
7451,XLOC_034693,0.3062438832327632,0.0640267882329705,4.783058649114986,1.726477241102272e-06,0.00015578829852972413
10121,XLOC_044816,1.0150753253383973,0.21319702093257456,4.761207829725838,1.9243774504714046e-06,0.00017214883451329108
8421,XLOC_038354,0.4967061887289558,0.1044143400419516,4.757068698891255,1.9642433764179514e-06,0.00017421327792383832
7390,XLOC_034527,0.25994560825439994,0.05492245869090719,4.732956507233639,2.2127291579630513e-06,0.00019458890230663204
1635,XLOC_005250,0.28746612488106943,0.06109537836684017,4.705202464824953,2.5361413503094745e-06,0.00022115578816942367
3033,XLOC_010009,0.6416963643965714,0.13653998846743468,4.699695463571967,2.605497373253636e-06,0.00022401653947564239
7998,XLOC_036890,0.3824238435356756,0.081381029815083,4.699176754148151,2.6121230872653686e-06,0.00022401653947564239
2236,XLOC_007226,0.1869811461303234,0.03984343503692618,4.692897235317001,2.693628173441311e-06,0.00022911294717869248
6281,XLOC_030344,0.24159400108231005,0.05162183238123778,4.680074106980338,2.8677124090642768e-06,0.00024193700543788616
1959,XLOC_006423,0.3126745871301115,0.066841204132574,4.677871848477585,2.898676023589252e-06,0.00024257710561923924
5002,XLOC_018409,0.5932732819027543,0.12694899064353798,4.673320196523779,2.963691696614123e-06,0.00024603382988611804
1626,XLOC_005242,0.2368278723190591,0.05071686141149694,4.669608207762101,3.0177471293035322e-06,0.00024853303143478376
8310,XLOC_038071,0.7270345663288822,0.15651020045921926,4.64528550979858,3.396064538933309e-06,0.00027748788756307835
7173,XLOC_033813,0.30019930629691505,0.0646838243123884,4.641025936362581,3.4668360289511606e-06,0.0002802882387361393
2492,XLOC_008212,1.267072430778177,0.27307688412621905,4.639984211159091,3.4843579837103182e-06,0.0002802882387361393
4380,XLOC_015100,0.5199475368673457,0.11232137811008665,4.629105746527994,3.6724820579731058e-06,0.0002923482627826759
7716,XLOC_035870,0.21262565698561656,0.0459424702653724,4.628084988844757,3.6906256552501245e-06,0.0002923482627826759
4144,XLOC_014025,0.21071684812634434,0.045656320706185166,4.615283160515342,3.925597191993246e-06,0.0003075266764838197
2474,XLOC_008149,0.32964075175452967,0.0714367376792126,4.614442966793708,3.941509874949217e-06,0.0003075266764838197
9680,XLOC_043308,-0.3002969090217374,0.06532073018319114,-4.597268098191166,4.280666569419374e-06,0.00033149609694675257
6638,XLOC_031650,-0.4159888579868225,0.0906622303878663,-4.588336909506431,4.467911596714168e-06,0.0003434334714007624
6548,XLOC_031374,0.24100820810122794,0.05256359182676921,4.585078753664795,4.5381534999241705e-06,0.00034626778579936116
6359,XLOC_030717,0.6745688649936921,0.14745024182466898,4.574891547453767,4.764667382250805e-06,0.00036089747025997516
1649,XLOC_005301,1.8413037588276866,0.4027418385235841,4.571920726134993,4.832737828018622e-06,0.0003634008727634003
3856,XLOC_013012,0.247461419581373,0.0541851705028699,4.566958399960488,4.948521697589252e-06,0.00036943028529412715
3355,XLOC_011198,0.33227692148642435,0.0729455447901899,4.555136608303331,5.235154490500447e-06,0.0003880371296280224
3086,XLOC_010259,0.45457728428926625,0.09986122032965378,4.552090218692026,5.31155477594785e-06,0.0003909078291490131
85,XLOC_000328,0.47860287061330953,0.10527476112228713,4.546226137310961,5.461635483900125e-06,0.0003991224747636028
10140,XLOC_044900,0.2958207449275756,0.06520489055359702,4.5367876920890975,5.711755480048635e-06,0.0004144817245906622
379,XLOC_001119,-0.6827414245543835,0.15061754631272084,-4.532947463749252,5.816628583545751e-06,0.0004191607973017657
2406,XLOC_007912,-0.4173336476091491,0.0922328089184647,-4.5247851876448735,6.045687977338656e-06,0.00043192936539722854
592,TRINITY_DN46054_c0_g1_i1.mrna1,1.3061044183191437,0.2887254293162553,4.523690280458473,6.077063442998493e-06,0.00043192936539722854
7593,XLOC_035357,0.35909925194527803,0.07951708225557934,4.516001364223619,6.301825827962471e-06,0.0004448574599780038
7106,XLOC_033541,0.6657061439231541,0.14756012406994354,4.5114230427700726,6.439414642675958e-06,0.0004514986874800568
3646,XLOC_012299,0.7187102470207576,0.15969920186470585,4.500399742946964,6.782578960871378e-06,0.0004723679320601496
5371,XLOC_020917,0.223806404493739,0.049883982627273636,4.486538417872329,7.238966923640766e-06,0.0005007917317774683
